Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"67,""'246"",""Finland"",""426"",""'01251"",""Carrots and turnips"",""5419"",""Yield"",""1981"",""1981"",""hg/ha"",""180088.000000"",""E"""
"198,""'705"",""Slovenia"",""401"",""'01231"",""Chillies and peppers, green (Capsicum spp. and Pimenta spp.)"",""5419"",""Yield"",""1995"",""1995"",""hg/ha"",""154068.000000"",""E"""
"27,""'100"",""Bulgaria"",""1091"",""'0232"",""Eggs from other birds in shell, fresh, n.e.c."",""5413"",""Yield"",""1991"",""1991"",""No/An"",""35.000000"",""E"""
"15,""'058"",""Belgium-Luxembourg"",""515"",""'01341"",""Apples"",""5510"",""Production"",""1968"",""1968"",""tonnes"",""181000.000000"",""A"""
"106,""'380"",""Italy"",""587"",""'01359.01"",""Persimmons"",""5510"",""Production"",""1981"",""1981"",""tonnes"",""62800.000000"",""A"""
"229,""'826"",""United Kingdom of Great Britain and Northern Ireland"",""75"",""'0117"",""Oats"",""5419"",""Yield"",""2015"",""2015"",""hg/ha"",""60992.000000"",""E"""
"198,""'705"",""Slovenia"",""898"",""'22212"",""Skim milk and whey powder"",""5510"",""Production"",""2016"",""2016"",""tonnes"",""3666.000000"",""I"""
"104,""'372"",""Ireland"",""1765"",""'F1765"",""Meat, Total"",""5510"",""Production"",""2015"",""2015"",""tonnes"",""1026927.000000"",""E"""
"97,""'348"",""Hungary"",""108"",""'01199.90"",""Cereals n.e.c."",""5419"",""Yield"",""1964"",""1964"",""hg/ha"",""15294.000000"",""E"""
"27,""'100"",""Bulgaria"",""388"",""'01234"",""Tomatoes"",""5510"",""Production"",""1961"",""1961"",""tonnes"",""726456.000000"",""A"""
"11,""'040"",""Austria"",""116"",""'01510"",""Potatoes"",""5419"",""Yield"",""1993"",""1993"",""hg/ha"",""284925.000000"",""E"""
"210,""'752"",""Sweden"",""292"",""'01442"",""Mustard seed"",""5312"",""Area harvested"",""1966"",""1966"",""ha"",""6322.000000"",""A"""
"134,""'470"",""Malta"",""1720"",""'F1720"",""Roots and Tubers, Total"",""5510"",""Production"",""2009"",""2009"",""tonnes"",""10069.000000"",""E"""
"229,""'826"",""United Kingdom of Great Britain and Northern Ireland"",""103"",""'01199.02"",""Mixed grain"",""5510"",""Production"",""1972"",""1972"",""tonnes"",""221949.000000"",""A"""
"134,""'470"",""Malta"",""1726"",""'F1726"",""Pulses, Total"",""5419"",""Yield"",""1985"",""1985"",""hg/ha"",""27692.000000"",""E"""
"97,""'348"",""Hungary"",""777"",""'01929.02"",""True hemp, raw or retted"",""5510"",""Production"",""1971"",""1971"",""tonnes"",""15300.000000"",""A"""
"11,""'040"",""Austria"",""1723"",""'F1723"",""Sugar Crops Primary"",""5312"",""Area harvested"",""1983"",""1983"",""ha"",""42034.000000"",""E"""
"98,""'191"",""Croatia"",""71"",""'0116"",""Rye"",""5510"",""Production"",""1993"",""1993"",""tonnes"",""6273.000000"",""A"""
