Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
"203","'724","Spain","689","'01652","Chillies and peppers, dry (Capsicum spp., Pimenta spp.), raw","5419","Yield","2009","2009","hg/ha","29820.000000","E"
"68","'250","France","1242","'21700.02","Margarine and shortening","5510","Production","1997","1997","tonnes","86000.000000","T"
"174","'620","Portugal","394","'01235","Pumpkins, squash and gourds","5419","Yield","1972","1972","hg/ha","200000.000000","E"
"68","'250","France","56","'0112","Maize (corn)","5510","Production","1961","1961","tonnes","2480000.000000","A"
"106","'380","Italy","1062","'0231","Hen eggs in shell, fresh","5313","Laying","1977","1977","1000 Head","53000.000000","E"
"79","'276","Germany","60","'21691.02","Oil of maize","5510","Production","2019","2019","tonnes","18100.000000","T"
"203","'724","Spain","1806","'F1806","Beef and Buffalo Meat","5510","Production","1989","1989","tonnes","459259.000000","E"
"68","'250","France","897","'22211","Whole milk powder","5510","Production","2000","2000","tonnes","257792.000000","A"
"79","'276","Germany","1807","'F1807","Sheep and Goat Meat","5510","Production","1969","1969","tonnes","21976.000000","E"
"174","'620","Portugal","521","'01342.01","Pears","5419","Yield","2013","2013","hg/ha","168539.000000","E"
"68","'250","France","27","'0113","Rice","5419","Yield","2003","2003","hg/ha","56052.000000","E"
"203","'724","Spain","75","'0117","Oats","5312","Area harvested","1992","1992","ha","313800.000000","A"
"79","'276","Germany","898","'22212","Skim milk and whey powder","5510","Production","1962","1962","tonnes","130642.000000","A"
"174","'620","Portugal","260","'01450","Olives","5312","Area harvested","2008","2008","ha","347140.000000","A"
"68","'250","France","423","'01241.01","String beans","5419","Yield","1971","1971","hg/ha","58717.000000","E"
"203","'724","Spain","549","'01351.02","Gooseberries","5312","Area harvested","2015","2015","ha","20.000000","A"
"203","'724","Spain","677","'01659","Hop cones","5312","Area harvested","1963","1963","ha","1136.000000","A"
"174","'620","Portugal","260","'01450","Olives","5510","Production","1964","1964","tonnes","309000.000000","A"
"203","'724","Spain","526","'01343","Apricots","5312","Area harvested","1972","1972","ha","22600.000000","A"
"68","'250","France","407","'01254","Leeks and other alliaceous vegetables","5312","Area harvested","1979","1979","ha","11400.000000","A"
"203","'724","Spain","1058","'21121","Meat of chickens, fresh or chilled","5424","Yield/Carcass Weight","1984","1984","0.1g/An","15003.000000","T"
"106","'380","Italy","122","'01530","Sweet potatoes","5312","Area harvested","1966","1966","ha","1983.000000","A"
"203","'724","Spain","826","'01970","Unmanufactured tobacco","5312","Area harvested","2019","2019","ha","8670.000000","A"
"68","'250","France","187","'01705","Peas, dry","5419","Yield","2019","2019","hg/ha","40404.000000","E"
"79","'276","Germany","201","'01704","Lentils, dry","5510","Production","1983","1983","tonnes","70.000000","T"
"203","'724","Spain","886","'22241.01","Butter of cow milk","5510","Production","2009","2009","tonnes","36700.000000","A"
"203","'724","Spain","773","'26190.01","Flax, processed but not spun","5419","Yield","1965","1965","hg/ha","6280.000000","E"
"79","'276","Germany","1726","'F1726","Pulses, Total","5419","Yield","1996","1996","hg/ha","35182.000000","E"
"106","'380","Italy","947","'21112","Meat of buffalo, fresh or chilled","5510","Production","1991","1991","tonnes","431.000000","A"
"106","'380","Italy","547","'01353.01","Raspberries","5510","Production","1996","1996","tonnes","1600.000000","E"
"79","'276","Germany","515","'01341","Apples","5419","Yield","2008","2008","hg/ha","329244.000000","E"
"106","'380","Italy","122","'01530","Sweet potatoes","5419","Yield","1976","1976","hg/ha","220183.000000","E"
"68","'250","France","523","'01342.02","Quinces","5510","Production","1978","1978","tonnes","2750.000000","A"
"106","'380","Italy","260","'01450","Olives","5419","Yield","1965","1965","hg/ha","17961.000000","T"
"68","'250","France","1036","'21153","Edible offal of pigs, fresh, chilled or frozen","5320","Producing Animals/Slaughtered","2000","2000","Head","26903000.000000","A"
"203","'724","Spain","587","'01359.01","Persimmons","5419","Yield","1996","1996","hg/ha","126832.000000","E"
"79","'276","Germany","176","'01701","Beans, dry","5510","Production","2007","2007","tonnes",,"M"
"106","'380","Italy","290","'21691.07","Oil of sesame seed","5510","Production","1988","1988","tonnes","1429.000000","A"
"174","'620","Portugal","1746","'F1746","Cattle and Buffaloes","5111","Stocks","1969","1969","Head","1244000.000000","E"
"79","'276","Germany","252","'2166","Coconut oil","5510","Production","1962","1962","tonnes","162000.000000","E"
"203","'724","Spain","1729","'F1729","Treenuts, Total","5510","Production","2008","2008","tonnes","232793.000000","E"
"79","'276","Germany","358","'01212","Cabbages","5510","Production","1967","1967","tonnes","926752.000000","A"
"203","'724","Spain","221","'01371","Almonds, in shell","5419","Yield","2005","2005","hg/ha","3483.000000","E"
"68","'250","France","1783","'F1783","Eggs Primary","5313","Laying","1989","1989","1000 Head","65900.000000","E"
"106","'380","Italy","339","'01449.90","Other oil seeds, n.e.c.","5510","Production","1969","1969","tonnes","150600.000000","T"
"174","'620","Portugal","723","'01699","Other stimulant, spice and aromatic crops, n.e.c.","5510","Production","1964","1964","tonnes","100.000000","E"
"174","'620","Portugal","394","'01235","Pumpkins, squash and gourds","5510","Production","2003","2003","tonnes","12687.000000","I"
"106","'380","Italy","521","'01342.01","Pears","5510","Production","1997","1997","tonnes","588971.000000","A"
"79","'276","Germany","1035","'21113.01","Meat of pig with the bone, fresh or chilled","5320","Producing Animals/Slaughtered","1998","1998","Head","41352124.000000","A"
"203","'724","Spain","1140","'02191","Rabbits and hares","5112","Stocks","1994","1994","1000 Head",,"A"
"68","'250","France","402","'01253.01","Onions and shallots, green","5419","Yield","2010","2010","hg/ha","231133.000000","E"
"68","'250","France","1018","'21156","Edible offal of goat, fresh, chilled or frozen","5320","Producing Animals/Slaughtered","2017","2017","Head","1075905.000000","A"
"79","'276","Germany","1811","'F1811","Butter and Ghee","5510","Production","1996","1996","tonnes","480200.000000","E"
"106","'380","Italy","420","'01243","Broad beans and horse beans, green","5419","Yield","1997","1997","hg/ha","60323.000000","E"
"68","'250","France","236","'0141","Soya beans","5419","Yield","2009","2009","hg/ha","25109.000000","E"
"106","'380","Italy","268","'21631.01","Sunflower-seed oil, crude","5510","Production","1971","1971","tonnes","34984.000000","A"
"203","'724","Spain","572","'01311","Avocados","5510","Production","1984","1984","tonnes","24549.000000","A"
"174","'620","Portugal","1062","'0231","Hen eggs in shell, fresh","5410","Yield","1993","1993","100mg/An","156306.000000","E"
"203","'724","Spain","258","'21691.14","Oil of palm kernel","5510","Production","1992","1992","tonnes","7.050000","I"
"174","'620","Portugal","1225","'21523","Tallow","5510","Production","2013","2013","tonnes","2700.000000","E"
"79","'276","Germany","919","'02951.01","Raw hides and skins of cattle","5420","Yield","1975","1975","hg/An","318.000000","I"
"203","'724","Spain","577","'01314","Dates","5419","Yield","1985","1985","hg/ha","193909.000000","E"
"79","'276","Germany","1062","'0231","Hen eggs in shell, fresh","5510","Production","1981","1981","tonnes","1126534.000000","A"
"203","'724","Spain","406","'01252","Green garlic","5510","Production","1961","1961","tonnes","135800.000000","A"
"203","'724","Spain","826","'01970","Unmanufactured tobacco","5419","Yield","2014","2014","hg/ha","28513.000000","E"
"79","'276","Germany","900","'22130.02","Whey, dry","5510","Production","2000","2000","tonnes","227700.000000","A"
"174","'620","Portugal","889","'22222.01","Whole milk, condensed","5510","Production","2007","2007","tonnes","1000.000000","E"
"203","'724","Spain","406","'01252","Green garlic","5312","Area harvested","2019","2019","ha","27350.000000","A"
"106","'380","Italy","1166","'21170.92","Other meat n.e.c. (excluding mammals), fresh, chilled or frozen","5510","Production","1972","1972","tonnes","11400.000000","T"
"68","'250","France","367","'01211","Asparagus","5312","Area harvested","1986","1986","ha","17900.000000","A"
"203","'724","Spain","773","'26190.01","Flax, processed but not spun","5419","Yield","1980","1980","hg/ha","2500.000000","E"
"203","'724","Spain","280","'01446","Safflower seed","5510","Production","2015","2015","tonnes","3341.000000","E"
"203","'724","Spain","234","'01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.","5312","Area harvested","1992","1992","ha","2597.000000","I"
"106","'380","Italy","223","'01375","Pistachios, in shell","5510","Production","1987","1987","tonnes","3000.000000","A"
"174","'620","Portugal","242","'0142","Groundnuts, excluding shelled","5419","Yield","1996","1996","hg/ha","18571.000000","E"
"203","'724","Spain","1183","'02960.01","Beeswax","5422","Yield","1980","1980","hg","8.000000","E"
"174","'620","Portugal","333","'01441","Linseed","5419","Yield","1964","1964","hg/ha","3395.000000","E"
"203","'724","Spain","296","'01448","Poppy seed","5419","Yield","2001","2001","hg/ha","9091.000000","E"
"203","'724","Spain","558","'01355.90","Other berries and fruits of the genus vaccinium n.e.c.","5312","Area harvested","1984","1984","ha",,"M"
"68","'250","France","1735","'F1735","Vegetables Primary","5419","Yield","1972","1972","hg/ha","123166.000000","E"
"68","'250","France","572","'01311","Avocados","5419","Yield","2013","2013","hg/ha","27920.000000","E"
"203","'724","Spain","394","'01235","Pumpkins, squash and gourds","5419","Yield","1973","1973","hg/ha","193333.000000","E"
"203","'724","Spain","71","'0116","Rye","5419","Yield","1968","1968","hg/ha","9711.000000","E"
"174","'620","Portugal","497","'01322","Lemons and limes","5510","Production","2014","2014","tonnes","14676.000000","A"
"106","'380","Italy","44","'0115","Barley","5510","Production","2002","2002","tonnes","1190326.000000","A"
"106","'380","Italy","236","'0141","Soya beans","5312","Area harvested","1988","1988","ha","432024.000000","A"
"68","'250","France","1166","'21170.92","Other meat n.e.c. (excluding mammals), fresh, chilled or frozen","5320","Producing Animals/Slaughtered","1996","1996","Head","112605.000000","A"
"106","'380","Italy","205","'01709.01","Vetches","5312","Area harvested","1987","1987","ha","5865.000000","A"
"106","'380","Italy","1723","'F1723","Sugar Crops Primary","5510","Production","1992","1992","tonnes","14629669.000000","E"
"79","'276","Germany","211","'01709.90","Other pulses n.e.c.","5510","Production","1962","1962","tonnes","60400.000000","A"
"174","'620","Portugal","394","'01235","Pumpkins, squash and gourds","5312","Area harvested","2019","2019","ha","3080.000000","A"
"79","'276","Germany","1735","'F1735","Vegetables Primary","5510","Production","1964","1964","tonnes","3116216.000000","E"
"68","'250","France","56","'0112","Maize (corn)","5510","Production","1977","1977","tonnes","8506780.000000","A"
"68","'250","France","534","'01345","Peaches and nectarines","5510","Production","2009","2009","tonnes","348231.000000","A"
"203","'724","Spain","394","'01235","Pumpkins, squash and gourds","5312","Area harvested","1987","1987","ha","7081.000000","A"
"106","'380","Italy","1080","'21124","Meat of turkeys, fresh or chilled","5424","Yield/Carcass Weight","1972","1972","0.1g/An","83871.000000","I"
"174","'620","Portugal","574","'01318","Pineapples","5312","Area harvested","1988","1988","ha","170.000000","E"
"174","'620","Portugal","567","'01221","Watermelons","5419","Yield","2013","2013","hg/ha","292178.000000","E"
"174","'620","Portugal","677","'01659","Hop cones","5510","Production","1987","1987","tonnes","306.000000","A"
"203","'724","Spain","366","'01216","Artichokes","5419","Yield","1982","1982","hg/ha","112719.000000","E"
"106","'380","Italy","515","'01341","Apples","5312","Area harvested","2000","2000","ha","62527.000000","A"
"203","'724","Spain","403","'01253.02","Onions and shallots, dry (excluding dehydrated)","5510","Production","1992","1992","tonnes","1020000.000000","A"
"203","'724","Spain","270","'01443","Rape or colza seed","5312","Area harvested","1999","1999","ha","48300.000000","A"
"174","'620","Portugal","137","'01540","Yams","5312","Area harvested","1998","1998","ha","130.000000","E"
"174","'620","Portugal","366","'01216","Artichokes","5510","Production","2020","2020","tonnes","0.000000","A"
"79","'276","Germany","176","'01701","Beans, dry","5510","Production","1999","1999","tonnes",,"M"
"203","'724","Spain","577","'01314","Dates","5510","Production","1961","1961","tonnes","12000.000000","A"
"68","'250","France","1717","'F1717","Cereals, Total","5510","Production","1999","1999","tonnes","64264518.000000","E"
"79","'276","Germany","549","'01351.02","Gooseberries","5312","Area harvested","1982","1982","ha","28400.000000","E"
"203","'724","Spain","512","'01329","Other citrus fruit, n.e.c.","5510","Production","1989","1989","tonnes","413.000000","A"
"79","'276","Germany","1806","'F1806","Beef and Buffalo Meat","5417","Yield/Carcass Weight","2004","2004","hg/An","3038.000000","E"
"174","'620","Portugal","237","'2161","Soya bean oil","5510","Production","2016","2016","tonnes","125000.000000","T"
"174","'620","Portugal","1018","'21156","Edible offal of goat, fresh, chilled or frozen","5320","Producing Animals/Slaughtered","2016","2016","Head","103868.000000","A"
"174","'620","Portugal","397","'01232","Cucumbers and gherkins","5312","Area harvested","1986","1986","ha","250.000000","E"
"106","'380","Italy","328","'01921.01","Seed cotton, unginned","5419","Yield","1967","1967","hg/ha","7119.000000","T"
"106","'380","Italy","388","'01234","Tomatoes","5312","Area harvested","1962","1962","ha","126668.000000","A"
"203","'724","Spain","108","'01199.90","Cereals n.e.c.","5510","Production","1997","1997","tonnes","20869.000000","I"
"203","'724","Spain","103","'01199.02","Mixed grain","5312","Area harvested","1995","1995","ha","24720.000000","A"
"68","'250","France","426","'01251","Carrots and turnips","5419","Yield","1996","1996","hg/ha","366093.000000","E"
"79","'276","Germany","236","'0141","Soya beans","5510","Production","1991","1991","tonnes","2583.000000","A"
"203","'724","Spain","497","'01322","Lemons and limes","5510","Production","1972","1972","tonnes","196500.000000","A"
"79","'276","Germany","919","'02951.01","Raw hides and skins of cattle","5510","Production","1966","1966","tonnes","182786.000000","A"
"174","'620","Portugal","1735","'F1735","Vegetables Primary","5312","Area harvested","1979","1979","ha","87048.000000","E"
"79","'276","Germany","889","'22222.01","Whole milk, condensed","5510","Production","1994","1994","tonnes","15000.000000","I"
